,home_team_name,Result,away_team_name,home_ppg,away_ppg,home_team_shots_on_target,away_team_shots_on_target,home_team_corner_count,away_team_corner_count,HAS,HDS,AAS,ADS
0,Al Fateh,0,Al Taawon,1.69,1.31,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.9139846743295018,0.8125736339630306
1,Al Nassr,2,Najran,2.62,0.62,-1,-1,-1,-1,1.0884013812715825,0.5624521072796935,0.41305076628352494,0.5665651025797278
2,Al Nahdha,0,Al Shoalah,1.0,1.08,-1,-1,-1,-1,0.15655088360755637,0.25486111111111115,0.18455459770114943,0.3801950030469226
3,Al Hilal,3,Al Orubah,2.54,1.23,-1,-1,-1,-1,1.2747714808043875,0.5009339080459769,0.14940134099616859,0.2832825512898639
4,Al Raed,1,Al Ittifaq,1.23,0.77,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.43941570881226055,0.7082063782246598
5,Al Faisaly,-2,Al Ahli,1.62,1.62,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,1.370977011494253,0.64111314239285
6,Al Shabab,-3,Al Ittihad,1.85,0.92,-1,-1,-1,-1,0.8349380459069674,0.7821599616858238,1.2039990421455937,0.8051188299817185
7,Al Ittifaq,-2,Al Hilal,1.23,2.31,-1,-1,-1,-1,0.5218362786918546,0.5976053639846743,1.2127873563218392,0.4696526508226691
8,Al Fateh,4,Al Nahdha,1.69,0.23,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.07030651340996169,0.2907373552711761
9,Al Taawon,0,Al Faisaly,1.38,0.85,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.711853448275862,0.7678448100751574
10,Najran,1,Al Raed,1.54,1.0,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,0.7382183908045977,1.036217753402397
11,Al Shoalah,-1,Al Shabab,0.92,1.0,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.7206417624521072,0.6336583384115377
12,Al Ahli,0,Al Nassr,1.85,2.38,4,3,8,3,1.177859029047329,0.5800287356321838,1.2391522988505748,0.5889295145236645
13,Al Orubah,1,Al Ittihad,1.0,0.92,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,1.2039990421455937,0.8051188299817185
14,Al Ahli,0,Al Orubah,1.85,1.23,6,3,14,2,1.177859029047329,0.5800287356321838,0.14940134099616859,0.2832825512898639
15,Al Shabab,3,Al Raed,1.85,1.0,8,5,6,1,0.8349380459069674,0.7821599616858238,0.7382183908045977,1.036217753402397
16,Al Ittihad,2,Al Fateh,1.54,0.46,3,4,3,9,0.8796668697948405,0.9755028735632184,0.7382183908045977,0.8871216737761528
17,Al Ittifaq,1,Al Shoalah,1.23,1.08,6,6,5,8,0.5218362786918546,0.5976053639846743,0.18455459770114943,0.3801950030469226
18,Najran,-1,Al Taawon,1.54,1.31,5,0,4,3,0.3652853950842982,0.5360871647509579,0.9139846743295018,0.8125736339630306
19,Al Faisaly,-2,Al Hilal,1.62,2.31,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,1.2127873563218392,0.4696526508226691
20,Al Nassr,3,Al Nahdha,2.62,0.23,7,3,4,2,1.0884013812715825,0.5624521072796935,0.07030651340996169,0.2907373552711761
21,Al Hilal,3,Al Ittihad,2.54,0.92,5,3,6,9,1.2747714808043875,0.5009339080459769,1.2039990421455937,0.8051188299817185
22,Al Raed,-3,Al Nassr,1.23,2.38,0,2,5,6,0.6634775543367866,0.9667145593869733,1.2391522988505748,0.5889295145236645
23,Al Taawon,0,Al Ittifaq,1.38,0.77,3,2,3,5,1.0884013812715825,0.7997365900383141,0.43941570881226055,0.7082063782246598
24,Al Shoalah,-1,Najran,0.92,0.62,3,5,7,5,0.2609181393459273,0.34274425287356325,0.41305076628352494,0.5665651025797278
25,Al Orubah,-1,Al Faisaly,1.0,0.85,7,6,6,3,0.20873451147674185,0.333955938697318,0.711853448275862,0.7678448100751574
26,Al Shabab,0,Al Fateh,1.85,0.46,5,3,10,7,0.8349380459069674,0.7821599616858238,0.7382183908045977,0.8871216737761528
27,Al Nahdha,-4,Al Ahli,1.0,1.62,2,3,1,5,0.15655088360755637,0.25486111111111115,1.370977011494253,0.64111314239285
28,Al Nassr,2,Al Shoalah,2.62,1.08,-1,-1,-1,-1,1.0884013812715825,0.5624521072796935,0.18455459770114943,0.3801950030469226
29,Najran,1,Al Ittifaq,1.54,0.77,8,3,3,6,0.3652853950842982,0.5360871647509579,0.43941570881226055,0.7082063782246598
30,Al Ittihad,1,Al Taawon,1.54,1.31,4,4,4,8,0.8796668697948405,0.9755028735632184,0.9139846743295018,0.8125736339630306
31,Al Faisaly,0,Al Shabab,1.62,1.0,4,3,6,8,0.8051188299817185,0.9491379310344827,0.7206417624521072,0.6336583384115377
32,Al Ahli,0,Al Hilal,1.85,2.31,3,5,10,3,1.177859029047329,0.5800287356321838,1.2127873563218392,0.4696526508226691
33,Al Fateh,0,Al Orubah,1.69,1.23,8,4,10,4,0.7902092220190942,0.7733716475095785,0.14940134099616859,0.2832825512898639
34,Al Raed,0,Al Nahdha,1.23,0.23,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.07030651340996169,0.2907373552711761
35,Al Fateh,1,Al Faisaly,1.69,0.85,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.711853448275862,0.7678448100751574
36,Al Ittihad,0,Al Ahli,1.54,1.62,2,6,3,9,0.8796668697948405,0.9755028735632184,1.370977011494253,0.64111314239285
37,Al Nahdha,-3,Najran,1.0,0.62,-1,-1,-1,-1,0.15655088360755637,0.25486111111111115,0.41305076628352494,0.5665651025797278
38,Al Shoalah,-1,Al Taawon,0.92,1.31,3,3,3,4,0.2609181393459273,0.34274425287356325,0.9139846743295018,0.8125736339630306
39,Al Ittifaq,-1,Al Shabab,1.23,1.0,5,5,2,5,0.5218362786918546,0.5976053639846743,0.7206417624521072,0.6336583384115377
40,Al Hilal,-1,Al Raed,2.54,1.0,16,4,17,3,1.2747714808043875,0.5009339080459769,0.7382183908045977,1.036217753402397
41,Al Orubah,0,Al Nassr,1.0,2.38,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,1.2391522988505748,0.5889295145236645
42,Al Shabab,4,Najran,1.85,0.62,4,8,7,4,0.8349380459069674,0.7821599616858238,0.41305076628352494,0.5665651025797278
43,Al Taawon,-1,Al Hilal,1.38,2.31,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,1.2127873563218392,0.4696526508226691
44,Al Ahli,3,Al Shoalah,1.85,1.08,2,0,4,4,1.177859029047329,0.5800287356321838,0.18455459770114943,0.3801950030469226
45,Al Faisaly,3,Al Ittihad,1.62,0.92,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,1.2039990421455937,0.8051188299817185
46,Al Nassr,1,Al Fateh,2.62,0.46,8,7,5,7,1.0884013812715825,0.5624521072796935,0.7382183908045977,0.8871216737761528
47,Al Ittifaq,1,Al Nahdha,1.23,0.23,-1,-1,-1,-1,0.5218362786918546,0.5976053639846743,0.07030651340996169,0.2907373552711761
48,Al Raed,0,Al Orubah,1.23,1.23,3,3,8,2,0.6634775543367866,0.9667145593869733,0.14940134099616859,0.2832825512898639
49,Al Ahli,0,Al Raed,1.85,1.0,4,3,12,1,1.177859029047329,0.5800287356321838,0.7382183908045977,1.036217753402397
50,Al Hilal,3,Al Shabab,2.54,1.0,0,3,1,2,1.2747714808043875,0.5009339080459769,0.7206417624521072,0.6336583384115377
51,Al Ittihad,0,Al Ittifaq,1.54,0.77,4,4,3,4,0.8796668697948405,0.9755028735632184,0.43941570881226055,0.7082063782246598
52,Najran,2,Al Orubah,1.54,1.23,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,0.14940134099616859,0.2832825512898639
53,Al Nahdha,-2,Al Taawon,1.0,1.31,3,2,4,7,0.15655088360755637,0.25486111111111115,0.9139846743295018,0.8125736339630306
54,Al Shoalah,0,Al Fateh,0.92,0.46,6,6,1,5,0.2609181393459273,0.34274425287356325,0.7382183908045977,0.8871216737761528
55,Al Faisaly,-2,Al Nassr,1.62,2.38,0,3,4,7,0.8051188299817185,0.9491379310344827,1.2391522988505748,0.5889295145236645
56,Al Orubah,0,Al Shoalah,1.0,1.08,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.18455459770114943,0.3801950030469226
57,Najran,-1,Al Hilal,1.54,2.31,2,2,5,9,0.3652853950842982,0.5360871647509579,1.2127873563218392,0.4696526508226691
58,Al Nassr,0,Al Ittifaq,2.62,0.77,5,3,5,2,1.0884013812715825,0.5624521072796935,0.43941570881226055,0.7082063782246598
59,Al Raed,1,Al Faisaly,1.23,0.85,3,3,6,3,0.6634775543367866,0.9667145593869733,0.711853448275862,0.7678448100751574
60,Al Taawon,0,Al Shabab,1.38,1.0,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.7206417624521072,0.6336583384115377
61,Al Fateh,-3,Al Ahli,1.69,1.62,2,0,1,9,0.7902092220190942,0.7733716475095785,1.370977011494253,0.64111314239285
62,Al Nahdha,0,Al Ittihad,1.0,0.92,0,4,3,2,0.15655088360755637,0.25486111111111115,1.2039990421455937,0.8051188299817185
63,Al Shabab,6,Al Nahdha,1.85,0.23,10,6,4,4,0.8349380459069674,0.7821599616858238,0.07030651340996169,0.2907373552711761
64,Al Fateh,3,Najran,1.69,0.62,0,0,7,3,0.7902092220190942,0.7733716475095785,0.41305076628352494,0.5665651025797278
65,Al Ittifaq,0,Al Orubah,1.23,1.23,-1,-1,-1,-1,0.5218362786918546,0.5976053639846743,0.14940134099616859,0.2832825512898639
66,Al Ahli,-1,Al Taawon,1.85,1.31,10,2,15,0,1.177859029047329,0.5800287356321838,0.9139846743295018,0.8125736339630306
67,Al Hilal,-1,Al Nassr,2.54,2.38,-1,-1,-1,-1,1.2747714808043875,0.5009339080459769,1.2391522988505748,0.5889295145236645
68,Al Raed,-3,Al Ittihad,1.23,0.92,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,1.2039990421455937,0.8051188299817185
69,Al Faisaly,2,Al Shoalah,1.62,1.08,0,2,11,5,0.8051188299817185,0.9491379310344827,0.18455459770114943,0.3801950030469226
70,Al Shabab,1,Al Ahli,1.85,1.62,6,8,6,8,0.8349380459069674,0.7821599616858238,1.370977011494253,0.64111314239285
71,Al Orubah,0,Al Nahdha,1.0,0.23,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.07030651340996169,0.2907373552711761
72,Najran,1,Al Faisaly,1.54,0.85,8,6,9,4,0.3652853950842982,0.5360871647509579,0.711853448275862,0.7678448100751574
73,Al Ittihad,-3,Al Nassr,1.54,2.38,2,4,2,8,0.8796668697948405,0.9755028735632184,1.2391522988505748,0.5889295145236645
74,Al Taawon,1,Al Raed,1.38,1.0,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.7382183908045977,1.036217753402397
75,Al Shoalah,0,Al Hilal,0.92,2.31,0,10,2,8,0.2609181393459273,0.34274425287356325,1.2127873563218392,0.4696526508226691
76,Al Ittifaq,2,Al Fateh,1.23,0.46,4,2,2,4,0.5218362786918546,0.5976053639846743,0.7382183908045977,0.8871216737761528
77,Al Fateh,0,Al Raed,1.69,1.0,2,2,3,5,0.7902092220190942,0.7733716475095785,0.7382183908045977,1.036217753402397
78,Al Taawon,-1,Al Orubah,1.38,1.23,5,0,9,5,1.0884013812715825,0.7997365900383141,0.14940134099616859,0.2832825512898639
79,Al Nahdha,-1,Al Hilal,1.0,2.31,0,3,2,4,0.15655088360755637,0.25486111111111115,1.2127873563218392,0.4696526508226691
80,Al Faisaly,-3,Al Ittifaq,1.62,0.77,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.43941570881226055,0.7082063782246598
81,Al Shoalah,1,Al Ittihad,0.92,0.92,9,8,5,3,0.2609181393459273,0.34274425287356325,1.2039990421455937,0.8051188299817185
82,Al Nassr,1,Al Shabab,2.62,1.0,7,8,8,7,1.0884013812715825,0.5624521072796935,0.7206417624521072,0.6336583384115377
83,Al Ahli,1,Najran,1.85,0.62,4,3,8,2,1.177859029047329,0.5800287356321838,0.41305076628352494,0.5665651025797278
84,Al Nassr,1,Al Taawon,2.62,1.31,9,6,4,3,1.0884013812715825,0.5624521072796935,0.9139846743295018,0.8125736339630306
85,Al Raed,-1,Al Shoalah,1.23,1.08,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.18455459770114943,0.3801950030469226
86,Al Orubah,0,Al Shabab,1.0,1.0,4,8,5,5,0.20873451147674185,0.333955938697318,0.7206417624521072,0.6336583384115377
87,Al Ittifaq,2,Al Ahli,1.23,1.62,7,5,5,6,0.5218362786918546,0.5976053639846743,1.370977011494253,0.64111314239285
88,Al Hilal,2,Al Fateh,2.54,0.46,9,9,4,4,1.2747714808043875,0.5009339080459769,0.7382183908045977,0.8871216737761528
89,Al Ittihad,1,Najran,1.54,0.62,8,4,9,7,0.8796668697948405,0.9755028735632184,0.41305076628352494,0.5665651025797278
90,Al Nahdha,0,Al Faisaly,1.0,0.85,4,4,7,6,0.15655088360755637,0.25486111111111115,0.711853448275862,0.7678448100751574
91,Al Ittifaq,-1,Al Raed,1.23,1.0,6,2,7,1,0.5218362786918546,0.5976053639846743,0.7382183908045977,1.036217753402397
92,Najran,-1,Al Nassr,1.54,2.38,5,2,5,2,0.3652853950842982,0.5360871647509579,1.2391522988505748,0.5889295145236645
93,Al Ahli,0,Al Faisaly,1.85,0.85,8,6,11,3,1.177859029047329,0.5800287356321838,0.711853448275862,0.7678448100751574
94,Al Shoalah,0,Al Nahdha,0.92,0.23,7,3,6,2,0.2609181393459273,0.34274425287356325,0.07030651340996169,0.2907373552711761
95,Al Taawon,1,Al Fateh,1.38,0.46,2,7,0,8,1.0884013812715825,0.7997365900383141,0.7382183908045977,0.8871216737761528
96,Al Orubah,-1,Al Hilal,1.0,2.31,6,14,2,13,0.20873451147674185,0.333955938697318,1.2127873563218392,0.4696526508226691
97,Al Ittihad,0,Al Shabab,1.54,1.0,3,4,2,6,0.8796668697948405,0.9755028735632184,0.7206417624521072,0.6336583384115377
98,Al Shabab,-2,Al Shoalah,1.85,1.08,8,5,9,2,0.8349380459069674,0.7821599616858238,0.18455459770114943,0.3801950030469226
99,Al Faisaly,0,Al Taawon,1.62,1.31,5,4,4,3,0.8051188299817185,0.9491379310344827,0.9139846743295018,0.8125736339630306
100,Al Nahdha,-1,Al Fateh,1.0,0.46,4,5,4,4,0.15655088360755637,0.25486111111111115,0.7382183908045977,0.8871216737761528
101,Al Hilal,4,Al Ittifaq,2.54,0.77,5,8,8,2,1.2747714808043875,0.5009339080459769,0.43941570881226055,0.7082063782246598
102,Al Raed,1,Najran,1.23,0.62,4,6,3,2,0.6634775543367866,0.9667145593869733,0.41305076628352494,0.5665651025797278
103,Al Ittihad,0,Al Orubah,1.54,1.23,3,6,5,6,0.8796668697948405,0.9755028735632184,0.14940134099616859,0.2832825512898639
104,Al Nassr,2,Al Ahli,2.62,1.62,8,5,3,2,1.0884013812715825,0.5624521072796935,1.370977011494253,0.64111314239285
105,Al Fateh,0,Al Ittihad,1.69,0.92,2,4,2,3,0.7902092220190942,0.7733716475095785,1.2039990421455937,0.8051188299817185
106,Al Raed,0,Al Shabab,1.23,1.0,5,6,2,7,0.6634775543367866,0.9667145593869733,0.7206417624521072,0.6336583384115377
107,Al Hilal,1,Al Faisaly,2.54,0.85,12,4,12,3,1.2747714808043875,0.5009339080459769,0.711853448275862,0.7678448100751574
108,Al Shoalah,4,Al Ittifaq,0.92,0.77,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.43941570881226055,0.7082063782246598
109,Al Taawon,2,Najran,1.38,0.62,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.41305076628352494,0.5665651025797278
110,Al Orubah,-4,Al Ahli,1.0,1.62,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,1.370977011494253,0.64111314239285
111,Al Nahdha,-3,Al Nassr,1.0,2.38,5,2,3,2,0.15655088360755637,0.25486111111111115,1.2391522988505748,0.5889295145236645
112,Najran,-1,Al Shoalah,1.54,1.08,8,0,5,1,0.3652853950842982,0.5360871647509579,0.18455459770114943,0.3801950030469226
113,Al Ittifaq,0,Al Taawon,1.23,1.31,3,3,7,2,0.5218362786918546,0.5976053639846743,0.9139846743295018,0.8125736339630306
114,Al Ittihad,0,Al Hilal,1.54,2.31,7,6,4,4,0.8796668697948405,0.9755028735632184,1.2127873563218392,0.4696526508226691
115,Al Fateh,1,Al Shabab,1.69,1.0,0,3,5,3,0.7902092220190942,0.7733716475095785,0.7206417624521072,0.6336583384115377
116,Al Nassr,3,Al Raed,2.62,1.0,6,2,10,2,1.0884013812715825,0.5624521072796935,0.7382183908045977,1.036217753402397
117,Al Faisaly,0,Al Orubah,1.62,1.23,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.14940134099616859,0.2832825512898639
118,Al Ahli,2,Al Nahdha,1.85,0.23,5,0,12,0,1.177859029047329,0.5800287356321838,0.07030651340996169,0.2907373552711761
